word,ipa
Imbibe,ɪmbaɪb
Foil,fɔɪl
Stipulate,stɪpjʌleɪt
Stint,stɪnt
Insolence,ɪnsʌlʌns
Embryonic,ɛmbriɑnɪk
Propagate,prɑpʌgeɪt
Exhilarating,ɪgzɪlɝeɪtɪŋ
Stratagem,strætʌʤʌm
Fleece,flis
Volatile,vɑlʌtʌl
Explicit,ɪksplɪsʌt
Contingent,kʌntɪnʤʌnt
Ingenious,ɪnʤinjʌs
Audacity,ɑdæsʌti
Junta,hʊntʌ
Bombastic,bɑmbæstɪk
Undermine,ʌndɝmaɪn
Acolyte,ækʌlaɪt
Stultify,stʌltʌfaɪ
Cataclysm,kætʌklɪsʌm
Venial,vinjʌl
Opaque,oʊpeɪk
Advocate,ædvʌkʌt
Cathartic,kʌθɑrtɪk
Desecrate,dɛzʌkreɪt
Diminutive,dɪmɪnjʌtɪv
Erroneous,ɛroʊniʌs
Insouciance,ɪnsusiʌns
Discredit,dɪskrɛdʌt
Proxy,prɑksi
Reverent,rɛvɝʌnt
Cunning,kʌnɪŋ
Indispensable,ɪndɪspɛnsʌbʌl
Retiring,rɪtaɪrɪŋ
Malign,mʌlaɪn
Assiduous,ʌsɪdwʌs
Scintilla,sɪntɪlʌ
Zephyr,zɛfɝ
Salient,seɪliʌnt
Unassailable,ʌnʌseɪlʌbʌl
Liability,laɪʌbɪlɪti
Lascivious,lʌsɪviʌs
Ravenous,rævʌnʌs
Premonition,prɛmʌnɪʃʌn
Despotic,dɪspɑtɪk
Mettlesome,mɛtʌlsʌm
Aseptic,ʌsɛptɪk
Dispatch,dɪspæʧ
Tumultuous,tumʌlʧuʌs
Propensity,prʌpɛnsɪti
Turgid,tɝʤɪd
Inviolable,ɪnvaɪʌlʌbʌl
Aloof,ʌluf
Prodigal,prɑdɪgʌl
Admonish,ædmɑnɪʃ
Rescind,rɪsɪnd
Repugnant,rɪpʌgnʌnt
Inert,ɪnɝt
Nullify,nʌlʌfaɪ
Ingratiate,ɪŋgreɪʃieɪt
Check,ʧɛk
Rhapsodize,ræpsʌdaɪz
Unconscionable,ʌnkɑnʃʌnʌbʌl
Numinous,numʌnʌs
Pungent,pʌnʤʌnt
Nihilism,naɪʌlɪzʌm
Censor,sɛnsɝ
Aesthete,ɛsθit
Fallible,fælʌbʌl
Deviate,divieɪt
Replenish,riplɛnɪʃ
Fervid,fɝvʌd
Imperious,ɪmpɪriʌs
Pugilist,pjuʤʌlɪst
Tangential,tænʤɛnʧʌl
Phlegmatic,flɛgmætɪk
Acidulous,ʌsɪdjulʌs
Digression,daɪgrɛʃʌn
Tome,toʊm
Inkling,ɪŋklɪŋ
Jejune,ʤɛʤun
Excoriate,ɛkskɔrieɪt
Unflappable,ʌnflæpʌbʌl
Reprehensible,rɛprɪhɛnsʌbʌl
Lurid,lʊrʌd
Histrionic,hɪstriɑnɪk
Eulogy,julʌʤi
Disenfranchise,dɪsɪnfrænʧaɪz
Baleful,beɪlfʌl
Wraith,reɪθ
Connoisseur,kɑnʌsɝ
Fete,feɪt
Posit,pɑzʌt
Bereft,bɝɛft
Robust,roʊbʌst
Thrifty,θrɪfti
Implode,ɪmploʊd
Parvenu,pɑrvinu
Spendthrift,spɛndθrɪft
Heretical,hɝɛtɪkʌl
Misogynist,mɪzʌʤɪnɪst
Firebrand,faɪɝbrænd
Frustrate,frʌstreɪt
Insolvent,ɪnsɑlvʌnt
Subterfuge,sʌbtɝfjuʤ
Objurgate,ɑʤʌgreɪt
Synchronous,sɪŋkrʌnʌs
Reconcile,rɛkʌnsaɪl
Disposition,dɪspʌzɪʃʌn
Graft,græft
Ingrained,ɪngreɪnd
Obsequious,ʌbsikwiʌs
Inclement,ɪnklɛmʌnt
Gouge,gaʊʤ
Tender,tɛndɝ
Untrammeled,ʌntræmʌld
Lambaste,læmbæst
Morose,mɝoʊs
Peddle,pɛdʌl
Scorn,skɔrn
Chortle,ʧɔrtʌl
Detached,dɪtæʧt
Unprepossessing,ʌprænprʌsɪŋz
Perquisite,pɝkwʌzɪt
Burgeon,bɝʤʌn
Stem,stɛm
Rebut,rɪbʌt
Scintillating,sɪntʌtleɪtɪŋ
Xenophobia,zɛnʌfoʊbiʌ
Leery,lɪri
Hobble,hɑbʌl
Fallacy,fælʌsi
Affront,ʌfrʌnt
Perpetuate,pɝpɛʧʌweɪt
Expound,ɪkspaʊnd
Feasible,fizʌbʌl
Genial,ʤinjʌl
Languish,læŋgwɪʃ
Feeble,fibʌl
Ford,fɔrd
Credence,kridʌns
Resolution,rɛzʌluʃʌn
Unearth,ʌnɝθ
Glum,glʌm
Profound,proʊfaʊnd
Ennui,ɛnui
Magisterial,mæʤɪstiriʌl
Amalgam,ʌmælgʌm
Ingenue,ɪnʤɛnju
Dirge,dɝʤ
